agent_id,category_count,category,expertise
0,3,6 4 0,0.66 0.36 0.53
1,4,3 1 6 0,0.41 0.58 0.54 0.24
2,7,1 2 4 0 6 3 7,0.47 0.57 0.47 0.48 0.42 0.68 0.56
3,7,6 3 2 7 5 0 4,0.57 0.42 0.46 0.48 0.32 0.45 0.59
4,5,2 5 7 0 6,0.4 0.57 0.43 0.59 0.49
5,3,2 6 3,0.6 0.41 0.58
6,3,2 0 3,0.61 0.58 0.64
7,4,1 0 4 5,0.32 0.62 0.62 0.5
8,4,3 5 0 4,0.45 0.56 0.59 0.51
9,7,6 2 7 4 1 0 5,0.69 0.44 0.51 0.51 0.59 0.54 0.44
10,7,6 1 2 5 4 0 3,0.57 0.44 0.48 0.54 0.6 0.63 0.52
11,3,4 5 6,0.36 0.64 0.51
12,7,6 0 7 4 3 5 1,0.46 0.4 0.43 0.54 0.45 0.5 0.47
13,7,6 2 3 4 1 0 5,0.62 0.38 0.53 0.53 0.31 0.51 0.53
14,4,5 6 7 3,0.33 0.63 0.58 0.39
15,7,5 7 3 4 6 0 2,0.44 0.53 0.42 0.64 0.57 0.42 0.63
16,4,7 5 6 3,0.46 0.55 0.54 0.4
17,5,1 5 0 3 7,0.62 0.42 0.48 0.56 0.4
18,7,6 3 4 5 1 2 0,0.56 0.52 0.58 0.35 0.51 0.38 0.54
19,7,3 5 2 4 1 0 6,0.47 0.64 0.44 0.56 0.44 0.5 0.55
20,3,2 4 3,0.46 0.43 0.58
21,4,3 5 6 4,0.35 0.52 0.62 0.48
22,4,2 7 3 6,0.55 0.36 0.57 0.41
23,6,0 1 7 6 2 3,0.41 0.37 0.38 0.3 0.48 0.53
24,6,1 7 4 2 5 3,0.4 0.42 0.44 0.34 0.56 0.63
25,3,7 4 3,0.49 0.54 0.55
26,7,1 5 6 2 7 3 0,0.44 0.5 0.67 0.37 0.44 0.48 0.46
27,7,5 2 1 0 3 6 4,0.7 0.42 0.36 0.72 0.43 0.52 0.7
