attribute_id,type,vulnerability_score,disclosure_percentage,masking_plan
0,name,3,0.5,mask_from_start
1,company,3,0.6,mask_from_start
2,job,3,0.6,mask_from_start
3,ssn,5,0.3,mask_from_start
4,money,1,1.0,mask_from_start
5,mail,4,0.4,mask_from_start
6,zip_code,3,0.5,mask_from_start
7,address,5,0.4,mask_from_start
8,credit_card_number,5,0.5,mask_from_start
9,bank_account_number,5,0.5,mask_from_start
10,cc_provider,3,0.8,mask_from_start
11,username,4,0.5,mask_from_start
12,date,1,1.0,mask_from_center
13,phone_number,4,0.5,mask_from_start
14,product_name,2,1.0,mask_from_center
15,url,4,1.0,mask_from_center
16,software,2,1.0,mask_from_center
17,city,3,0.6,mask_from_start
18,python_package,1,1.0,mask_from_start
19,residence,5,0.5,mask_from_center
