ticket_id,inter_arr_time,arr_time
0,0.289,0.289
1,2.478,2.767
2,0.921,3.688
3,0.547,4.235
4,0.268,4.503
5,0.093,4.596
6,0.901,5.497
7,0.819,6.316
8,1.822,8.138
9,1.209,9.347
10,0.571,9.918
11,2.666,12.584
12,4.233,16.817
13,0.382,17.199
14,2.412,19.611
15,0.137,19.748
16,0.077,19.825
17,1.296,21.121
18,0.911,22.032
19,1.906,23.938
20,0.012,23.95
21,2.143,26.093
22,0.878,26.971
23,0.501,27.472
24,0.263,27.735
25,0.03,27.765
26,0.279,28.044
27,1.65,29.694
28,0.451,30.145
29,0.751,30.896
30,0.605,31.501
31,0.687,32.188
32,1.627,33.815
33,0.855,34.67
34,0.263,34.933
35,1.005,35.938
36,1.63,37.568
37,0.24,37.808
38,1.925,39.733
39,0.844,40.577
40,0.316,40.893
41,0.201,41.094
42,0.953,42.047
43,0.802,42.849
44,0.878,43.727
45,0.791,44.518
46,0.092,44.61
47,0.068,44.678
48,0.375,45.053
49,0.121,45.174
50,1.613,46.787
51,1.283,48.07
52,0.227,48.297
53,0.541,48.838
54,0.238,49.076
55,0.757,49.833
56,1.212,51.045
57,0.152,51.197
58,0.907,52.104
59,3.299,55.403
60,0.465,55.868
61,1.527,57.395
62,0.705,58.1
63,0.516,58.616
64,1.343,59.959
65,0.133,60.092
66,0.611,60.703
67,3.771,64.474
68,0.455,64.929
69,1.183,66.112
70,0.142,66.254
71,4.183,70.437
72,2.287,72.724
73,1.651,74.375
74,2.172,76.547
75,0.93,77.477
76,0.87,78.347
77,0.555,78.902
78,0.461,79.363
79,0.374,79.737
80,0.898,80.635
81,1.064,81.699
82,0.282,81.981
83,0.625,82.606
84,0.346,82.952
85,2.593,85.545
86,0.003,85.548
87,0.974,86.522
88,0.201,86.723
89,0.418,87.141
90,1.323,88.464
91,0.279,88.743
92,0.582,89.325
93,0.578,89.903
94,0.08,89.983
95,0.821,90.804
96,0.639,91.443
97,0.81,92.253
98,1.645,93.898
99,1.746,95.644
100,0.007,95.651
101,0.608,96.259
102,0.25,96.509
103,0.26,96.769
104,0.956,97.725
105,0.016,97.741
106,0.422,98.163
107,0.704,98.867
108,1.755,100.622
109,0.099,100.721
